Mode,Raw,UVI,Gain,Resolution,Sample
UVS,194,2.49,x1,20-bit,0
UVS,194,2.49,x1,20-bit,1
UVS,194,2.49,x1,20-bit,2
UVS,195,2.51,x1,20-bit,3
UVS,194,2.49,x1,20-bit,4
UVS,194,2.49,x1,20-bit,5
UVS,195,2.51,x1,20-bit,6
UVS,195,2.51,x1,20-bit,7
UVS,195,2.51,x1,20-bit,8
UVS,194,2.49,x1,20-bit,9
UVS,97,2.49,x1,19-bit,0
UVS,97,2.49,x1,19-bit,1
UVS,97,2.49,x1,19-bit,2
UVS,97,2.49,x1,19-bit,3
UVS,97,2.49,x1,19-bit,4
UVS,97,2.49,x1,19-bit,5
UVS,97,2.49,x1,19-bit,6
UVS,97,2.49,x1,19-bit,7
UVS,97,2.49,x1,19-bit,8
UVS,97,2.49,x1,19-bit,9
UVS,48,2.47,x1,18-bit,0
UVS,48,2.47,x1,18-bit,1
UVS,48,2.47,x1,18-bit,2
UVS,48,2.47,x1,18-bit,3
UVS,48,2.47,x1,18-bit,4
UVS,48,2.47,x1,18-bit,5
UVS,48,2.47,x1,18-bit,6
UVS,48,2.47,x1,18-bit,7
UVS,48,2.47,x1,18-bit,8
UVS,48,2.47,x1,18-bit,9
UVS,24,2.47,x1,17-bit,0
UVS,24,2.47,x1,17-bit,1
UVS,24,2.47,x1,17-bit,2
UVS,24,2.47,x1,17-bit,3
UVS,24,2.47,x1,17-bit,4
UVS,24,2.47,x1,17-bit,5
UVS,24,2.47,x1,17-bit,6
UVS,24,2.47,x1,17-bit,7
UVS,24,2.47,x1,17-bit,8
UVS,24,2.47,x1,17-bit,9
UVS,11,2.26,x1,16-bit,0
UVS,12,2.47,x1,16-bit,1
UVS,12,2.47,x1,16-bit,2
UVS,12,2.47,x1,16-bit,3
UVS,12,2.47,x1,16-bit,4
UVS,12,2.47,x1,16-bit,5
UVS,11,2.26,x1,16-bit,6
UVS,12,2.47,x1,16-bit,7
UVS,11,2.26,x1,16-bit,8
UVS,12,2.47,x1,16-bit,9
UVS,1,1.65,x1,13-bit,0
UVS,1,1.65,x1,13-bit,1
UVS,1,1.65,x1,13-bit,2
UVS,1,1.65,x1,13-bit,3
UVS,1,1.65,x1,13-bit,4
UVS,1,1.65,x1,13-bit,5
UVS,1,1.65,x1,13-bit,6
UVS,3,4.94,x1,13-bit,7
UVS,1,1.65,x1,13-bit,8
UVS,3,4.94,x1,13-bit,9
UVS,586,2.51,x3,20-bit,0
UVS,587,2.52,x3,20-bit,1
UVS,582,2.49,x3,20-bit,2
UVS,583,2.50,x3,20-bit,3
UVS,582,2.49,x3,20-bit,4
UVS,582,2.49,x3,20-bit,5
UVS,583,2.50,x3,20-bit,6
UVS,583,2.50,x3,20-bit,7
UVS,583,2.50,x3,20-bit,8
UVS,585,2.51,x3,20-bit,9
UVS,292,2.50,x3,19-bit,0
UVS,290,2.49,x3,19-bit,1
UVS,290,2.49,x3,19-bit,2
UVS,290,2.49,x3,19-bit,3
UVS,290,2.49,x3,19-bit,4
UVS,292,2.50,x3,19-bit,5
UVS,290,2.49,x3,19-bit,6
UVS,292,2.50,x3,19-bit,7
UVS,290,2.49,x3,19-bit,8
UVS,292,2.50,x3,19-bit,9
UVS,146,2.50,x3,18-bit,0
UVS,145,2.49,x3,18-bit,1
UVS,145,2.49,x3,18-bit,2
UVS,145,2.49,x3,18-bit,3
UVS,145,2.49,x3,18-bit,4
UVS,145,2.49,x3,18-bit,5
UVS,146,2.50,x3,18-bit,6
UVS,145,2.49,x3,18-bit,7
UVS,146,2.50,x3,18-bit,8
UVS,145,2.49,x3,18-bit,9
UVS,73,2.50,x3,17-bit,0
UVS,73,2.50,x3,17-bit,1
UVS,73,2.50,x3,17-bit,2
UVS,73,2.50,x3,17-bit,3
UVS,73,2.50,x3,17-bit,4
UVS,73,2.50,x3,17-bit,5
UVS,73,2.50,x3,17-bit,6
UVS,73,2.50,x3,17-bit,7
UVS,73,2.50,x3,17-bit,8
UVS,73,2.50,x3,17-bit,9
UVS,36,2.47,x3,16-bit,0
UVS,36,2.47,x3,16-bit,1
UVS,36,2.47,x3,16-bit,2
UVS,36,2.47,x3,16-bit,3
UVS,38,2.61,x3,16-bit,4
UVS,35,2.40,x3,16-bit,5
UVS,38,2.61,x3,16-bit,6
UVS,35,2.40,x3,16-bit,7
UVS,38,2.61,x3,16-bit,8
UVS,35,2.40,x3,16-bit,9
UVS,4,2.19,x3,13-bit,0
UVS,4,2.19,x3,13-bit,1
UVS,4,2.19,x3,13-bit,2
UVS,4,2.19,x3,13-bit,3
UVS,4,2.19,x3,13-bit,4
UVS,4,2.19,x3,13-bit,5
UVS,4,2.19,x3,13-bit,6
UVS,5,2.74,x3,13-bit,7
UVS,4,2.19,x3,13-bit,8
UVS,5,2.74,x3,13-bit,9
UVS,1185,2.54,x6,20-bit,0
UVS,1187,2.54,x6,20-bit,1
UVS,1188,2.55,x6,20-bit,2
UVS,1188,2.55,x6,20-bit,3
UVS,1189,2.55,x6,20-bit,4
UVS,1187,2.54,x6,20-bit,5
UVS,1177,2.52,x6,20-bit,6
UVS,1174,2.52,x6,20-bit,7
UVS,1177,2.52,x6,20-bit,8
UVS,1176,2.52,x6,20-bit,9
UVS,589,2.52,x6,19-bit,0
UVS,590,2.53,x6,19-bit,1
UVS,590,2.53,x6,19-bit,2
UVS,589,2.52,x6,19-bit,3
UVS,590,2.53,x6,19-bit,4
UVS,590,2.53,x6,19-bit,5
UVS,589,2.52,x6,19-bit,6
UVS,590,2.53,x6,19-bit,7
UVS,590,2.53,x6,19-bit,8
UVS,591,2.53,x6,19-bit,9
UVS,296,2.54,x6,18-bit,0
UVS,296,2.54,x6,18-bit,1
UVS,294,2.52,x6,18-bit,2
UVS,296,2.54,x6,18-bit,3
UVS,296,2.54,x6,18-bit,4
UVS,294,2.52,x6,18-bit,5
UVS,294,2.52,x6,18-bit,6
UVS,294,2.52,x6,18-bit,7
UVS,294,2.52,x6,18-bit,8
UVS,294,2.52,x6,18-bit,9
UVS,148,2.54,x6,17-bit,0
UVS,148,2.54,x6,17-bit,1
UVS,148,2.54,x6,17-bit,2
UVS,148,2.54,x6,17-bit,3
UVS,148,2.54,x6,17-bit,4
UVS,148,2.54,x6,17-bit,5
UVS,148,2.54,x6,17-bit,6
UVS,148,2.54,x6,17-bit,7
UVS,148,2.54,x6,17-bit,8
UVS,148,2.54,x6,17-bit,9
UVS,73,2.50,x6,16-bit,0
UVS,75,2.57,x6,16-bit,1
UVS,73,2.50,x6,16-bit,2
UVS,75,2.57,x6,16-bit,3
UVS,73,2.50,x6,16-bit,4
UVS,75,2.57,x6,16-bit,5
UVS,73,2.50,x6,16-bit,6
UVS,75,2.57,x6,16-bit,7
UVS,74,2.54,x6,16-bit,8
UVS,75,2.57,x6,16-bit,9
UVS,9,2.47,x6,13-bit,0
UVS,9,2.47,x6,13-bit,1
UVS,9,2.47,x6,13-bit,2
UVS,9,2.47,x6,13-bit,3
UVS,8,2.19,x6,13-bit,4
UVS,9,2.47,x6,13-bit,5
UVS,8,2.19,x6,13-bit,6
UVS,9,2.47,x6,13-bit,7
UVS,8,2.19,x6,13-bit,8
UVS,9,2.47,x6,13-bit,9
UVS,1772,2.53,x9,20-bit,0
UVS,1772,2.53,x9,20-bit,1
UVS,1771,2.53,x9,20-bit,2
UVS,1775,2.54,x9,20-bit,3
UVS,1774,2.53,x9,20-bit,4
UVS,1776,2.54,x9,20-bit,5
UVS,1778,2.54,x9,20-bit,6
UVS,1778,2.54,x9,20-bit,7
UVS,1776,2.54,x9,20-bit,8
UVS,1775,2.54,x9,20-bit,9
UVS,886,2.53,x9,19-bit,0
UVS,887,2.53,x9,19-bit,1
UVS,888,2.54,x9,19-bit,2
UVS,890,2.54,x9,19-bit,3
UVS,888,2.54,x9,19-bit,4
UVS,887,2.53,x9,19-bit,5
UVS,887,2.53,x9,19-bit,6
UVS,887,2.53,x9,19-bit,7
UVS,888,2.54,x9,19-bit,8
UVS,887,2.53,x9,19-bit,9
UVS,445,2.54,x9,18-bit,0
UVS,445,2.54,x9,18-bit,1
UVS,443,2.53,x9,18-bit,2
UVS,443,2.53,x9,18-bit,3
UVS,445,2.54,x9,18-bit,4
UVS,443,2.53,x9,18-bit,5
UVS,443,2.53,x9,18-bit,6
UVS,443,2.53,x9,18-bit,7
UVS,442,2.53,x9,18-bit,8
UVS,443,2.53,x9,18-bit,9
UVS,222,2.54,x9,17-bit,0
UVS,222,2.54,x9,17-bit,1
UVS,223,2.55,x9,17-bit,2
UVS,222,2.54,x9,17-bit,3
UVS,223,2.55,x9,17-bit,4
UVS,223,2.55,x9,17-bit,5
UVS,223,2.55,x9,17-bit,6
UVS,222,2.54,x9,17-bit,7
UVS,222,2.54,x9,17-bit,8
UVS,223,2.55,x9,17-bit,9
UVS,113,2.58,x9,16-bit,0
UVS,109,2.49,x9,16-bit,1
UVS,112,2.56,x9,16-bit,2
UVS,110,2.51,x9,16-bit,3
UVS,113,2.58,x9,16-bit,4
UVS,110,2.51,x9,16-bit,5
UVS,113,2.58,x9,16-bit,6
UVS,110,2.51,x9,16-bit,7
UVS,110,2.51,x9,16-bit,8
UVS,110,2.51,x9,16-bit,9
UVS,15,2.74,x9,13-bit,0
UVS,12,2.19,x9,13-bit,1
UVS,16,2.93,x9,13-bit,2
UVS,12,2.19,x9,13-bit,3
UVS,16,2.93,x9,13-bit,4
UVS,12,2.19,x9,13-bit,5
UVS,15,2.74,x9,13-bit,6
UVS,12,2.19,x9,13-bit,7
UVS,15,2.74,x9,13-bit,8
UVS,12,2.19,x9,13-bit,9
UVS,3529,2.52,x18,20-bit,0
UVS,3530,2.52,x18,20-bit,1
UVS,3530,2.52,x18,20-bit,2
UVS,3522,2.52,x18,20-bit,3
UVS,3529,2.52,x18,20-bit,4
UVS,3527,2.52,x18,20-bit,5
UVS,3521,2.52,x18,20-bit,6
UVS,3529,2.52,x18,20-bit,7
UVS,3527,2.52,x18,20-bit,8
UVS,3538,2.53,x18,20-bit,9
UVS,1768,2.53,x18,19-bit,0
UVS,1768,2.53,x18,19-bit,1
UVS,1767,2.52,x18,19-bit,2
UVS,1768,2.53,x18,19-bit,3
UVS,1766,2.52,x18,19-bit,4
UVS,1764,2.52,x18,19-bit,5
UVS,1767,2.52,x18,19-bit,6
UVS,1768,2.53,x18,19-bit,7
UVS,1770,2.53,x18,19-bit,8
UVS,1770,2.53,x18,19-bit,9
UVS,887,2.53,x18,18-bit,0
UVS,886,2.53,x18,18-bit,1
UVS,886,2.53,x18,18-bit,2
UVS,886,2.53,x18,18-bit,3
UVS,883,2.52,x18,18-bit,4
UVS,883,2.52,x18,18-bit,5
UVS,884,2.53,x18,18-bit,6
UVS,882,2.52,x18,18-bit,7
UVS,884,2.53,x18,18-bit,8
UVS,883,2.52,x18,18-bit,9
UVS,442,2.53,x18,17-bit,0
UVS,441,2.52,x18,17-bit,1
UVS,441,2.52,x18,17-bit,2
UVS,441,2.52,x18,17-bit,3
UVS,442,2.53,x18,17-bit,4
UVS,441,2.52,x18,17-bit,5
UVS,441,2.52,x18,17-bit,6
UVS,442,2.53,x18,17-bit,7
UVS,439,2.51,x18,17-bit,8
UVS,441,2.52,x18,17-bit,9
UVS,219,2.50,x18,16-bit,0
UVS,223,2.55,x18,16-bit,1
UVS,219,2.50,x18,16-bit,2
UVS,223,2.55,x18,16-bit,3
UVS,222,2.54,x18,16-bit,4
UVS,222,2.54,x18,16-bit,5
UVS,222,2.54,x18,16-bit,6
UVS,220,2.51,x18,16-bit,7
UVS,222,2.54,x18,16-bit,8
UVS,220,2.51,x18,16-bit,9
UVS,24,2.19,x18,13-bit,0
UVS,31,2.83,x18,13-bit,1
UVS,24,2.19,x18,13-bit,2
UVS,30,2.74,x18,13-bit,3
UVS,24,2.19,x18,13-bit,4
UVS,30,2.74,x18,13-bit,5
UVS,26,2.38,x18,13-bit,6
UVS,30,2.74,x18,13-bit,7
UVS,26,2.38,x18,13-bit,8
UVS,28,2.56,x18,13-bit,9